'nv'ke'bai'wen 女科百问
'nv'ke'cuo'yao 女科撮要
'nv'ke'ji'yao 女科辑要
'nv'ke'jing'hua 女科精华
'nv'ke'jing'lun 女科经纶
'nv'ke'yao'zhi 女科要旨
'nv'ke'yi'an'xuan'cui 女科医案选粹
'nv'ke'zheng'zhi'yue'zhi 女科证治约旨
'ou'yang'hui'qing 欧阳惠卿
'pang'an'shi 庞安时
'peng'sheng'quan 彭胜权
'pian'yu'dou'zhen 片玉痘疹
'pian'yu'xin'shu 片玉心书
'pu'fu'zhou 蒲辅周
'pu'ji'fang 普济方
'qi'de'zhi 齐德之
'qi'jing'ba'mai'kao 奇经八脉考
'qi'zhong'fu 齐仲甫
'qian'jin'yao'fang 千金要方
'qian'jin'yi'fang 千金翼方
'qian'xiu'chang 钱秀昌
'qian'yi 钱乙
'qian'zhong'yang 钱仲阳
'qin'chang'yu 秦昌遇
'qin'jing'ming 秦景明
'quan'you'xin'jian 全幼心鉴
'ren'ji'xue 任继学
'ru'men'shi'qin 儒门事亲
'ruan'yan 阮岩
'san'xiao'lun 三消论
'shang'han'biao'ben'xin'fa'lei'cui 伤寒标本心法类萃
'shang'han'lun'gang'mu 伤寒论纲目
'shang'han'lun'qian'zhu'bu'zheng 伤寒论浅注补正
'shang'han'wen'yi'tiao'bian 伤寒瘟疫条辨
'shang'han'zhi'ge 伤寒直格
'shang'han'zu'bing'lun 伤寒卒病论
'shang'ke'bu'yao 伤科补要
'shang'ke'hui'zuan 伤科汇纂
'shang'shu'quan'shu 伤暑全书
'shang'tian'yu 尚天裕
'shen'ji'men 沈汲门
'shen'jin'ao 沈金鳌
'shen'ning'sheng 谌宁生
'shen'nong'ben'cao'jing 神农本草经
'shen'qian'lv 沈芊绿
'shen'shi'zun'sheng'shu 沈氏尊生书
'shen'yao'feng 沈尧封
'shen'zai'ping 沈再平
'sheng'ji'zong'lu 圣济总录
'shi'chan'lun 十产论
'shi'jin'mo 施今墨
'shi'yi'de'xiao'fang 世医得效方
'shi'zhai'bai'yi'xuan'fang 是斋百一选方
'shou'shi'bao'yuan 寿世保元
'song'ci 宋慈
'song'hui'fu 宋惠父
'su'jing 苏敬
'su'song 苏颂
'su'wen 素问
'su'wen'bing'ji'qi'yi'bao'ming'ji 素问病机气宜保命集
'su'wen'xuan'ji'yuan'bing'shi 素问玄机原病式
'su'wen'yao'zhi'lun 素问要旨论
'sun'si'miao 孙思邈
'sun'zhen'ren 孙真人
'tai'chan'xin'fa 胎产心法
'tai'ping'hui'min'he'ji'ju'fang 太平惠民和剂局方
'tai'ping'sheng'hui'fang 太平圣惠方
'tang'ben'cao 唐本草
'tang'bu'qi 唐步琪
'tang'rong'chuan 唐容川
'tang'zong'hai 唐宗海
'tao'hong'jing 陶弘景
'tian'bing'lun 天病论
'tui'qiu'shi'yi 推求师意
'tui'si'lu'yi'shu 退思庐医书
'wai'ke'chuan'xin'ji 外科传薪集
'wai'ke'jing'yi 外科精义
'wai'ke'li'li 外科理例
'wai'ke'zheng'zhi'quan'sheng'ji 外科证治全生集
'wai'ke'zheng'zong 外科正宗
'wai'tai'mi'yao 外台秘要
'wan'mi'zhai 万密斋
'wan'quan 万全
'wang'feng'chun 汪逢春
'wang'fu 王付
'wang'hao'gu 王好古
